"",PARAGRAPHS
1973,Overall I am very pleased with this vac This is a cordless stick vac however and so it is not as powerful as standard vacuum cleaner Additionally when cleaning the floor it has difficulty picking ...
1974,This is the coolest cordless vacuum ever I always knew L G made quality products I have had a D This is the coolest cordless vacuum ever I always knew L G made quality products I have had a Dyson ...
1975,This vacuum is amazing My husband is truly obsessed with this vacuum It’s stylish efficient and pretty compact We keep it downstairs on the first floor of our home where there is a mix of both har...
1976,The instructions to assemble werent that clear but after a few attempts and process of eliminati The instructions to assemble werent that clear but after a few attempts and process of elimination ...
1977,awesome I never used a stick vacuum before so I wanted to do a test I used my old vacuum then went over it with the LG vacuum This vacuum picked up dirt that was left behind from my old vacuum it ...
1978,Great movement I got this a few weeks ago It’s so great where I can take it compared to my bigger vacuums The charge holds well if you have it on the correct power Great for getting under the couc...
1979,Great for hardwood floors I have been a big fan of stick vacuums for a while They just make it so much easier to vacuum on the regular I have had a vacuum for a while that I love but wasnt great w...
1980,But it takes up a lot more space than my previous vacuum And it has so many attachments it was overwhelming to put together and just looks bigger in storage than I would like Its great to have so ...
1981,Sleek and functional This vacuum is absolutely fantastic It is slim sleek and just so easy to use It cleans many nooks and crannies and is very lightweight We have a dog that sheds a lot and this ...
1982,Sleek and stylish with a great turbo button As a cat owner Im always looking for better ways to pick up fur off basically everything I was excited to try this vacuum cleaner out and see how well i...
1983,Love it Im so in love with this vacuum It is very portable but has tremendous suction too It is so much faster than using a broom to sweep my hardwood floors and does a better job The width of the...
1984,This vacuum has changed my life Cordless vacuums have changed my life This is the first one I have owned and I absolutely love it Its light and powerful I have small children so I have lots of mes...
1985,Poor Quality than expected I bought this vacuum a week ago and have used for two or three times for carpet cleaning As showing on the attached picture the rubber and bursh part from the bottom of ...
1986,Excellent Vacuum After 2 weeks of using the LG Cord Zero  \nPros  \nQuality built excellent even weight distribution design overall
1987,Great looking design
1988,Stand is a plus since I don’t like mounting anything on the wall
1989,It’s Powerful with all the attachments alternating attachment
1990,Battery life also a plus average use was over 38 minutes each straight with standard plus quick release for the battery makes switching and ease
1991,Floor Nozzle – great for Marble floors and Hardwood can move around furniture and even slide under a couch at ease
1992,Punch Nozzle – Great for high traffic area rugs to loosen up dust and dirt
1993,Carpet Nozzle – Excellent with lots of power for picking up all type of debris
1994,Controls are very easy to use
1995,Haven’t wash the filters yet but this is definitely a plus
1996,Easy manual and selfexplanatory maintenance
1997,Cons  \nWith all the attachments included there should be a place to store everything in the stand
1998,Amazing Vacuuming has never been so much fun before I simply love this vacuum cleaner It being cordless makes my life much more easy I always hated maneuvering around the card of the vacuum cleane...
1999,In terms of cleaning this vacuum cleaner does a decent job I rarely use the broom now It is so easy to maneuver I just wished it had a small brush on the sides to get to the corners easily All in...
2000,Perfect I can not begin to say how much I love this vacuum I spent tons a few years ago on a “pet machine” that weighs a ton doesn’t work as well as this stick and ironically makes the dog super d...
2001,This is a powerhouse in a lightweight stick I love that I can mount it or place it in its weighted stand The attachments are cool
2002,I vacuumed with my heavy vacuum under my desk the dog’s safe place Then I took the LG to it it picked up so much more I shudder to think what we’ve been breathing for all these years
2003,It’s easy to assemble charges quickly and has the attachments I need to get the job done
2004,And the kicker It’s so quiet the dog doesn’t even bat an eyelash
2005,I’m very happy and I’m sure I’ll stop showing guests how well it works any day now
2006,Works well I’m using this vacuum in my classroom It works well for the bare floor and the rug The attachments are nice for getting the corners and edges The only criticism I have is that I wish th...
2007,Making mom life a little easier This might be long review but it will be worth the read
2008,Brief overview
2009,Pros great for multi surface floors super easy to use great attachments lightweight good suction
2010,Cons battery life isnt the best storage for attachments switching out attachments between surfaces
2011,Ive had this vacuum for a couple weeks and Im obsessed Im a first time mom to a little boy who just turned one Life is busy and messy We also have 2 small dogs so needless to say I need all the he...
2012,Ive been using this mainly downstairs where I have several rugs on top of tile floors It has been wonderful to clean up messes in the kitchen dog hair off the couch and dust bunnies from all the b...
2013,The vacuum is super lightweight and is easy to use with both hands The stick part is extendable so that it will work for people of various heights I love using this to clean out my car I just stic...
2014,I love using it in the kitchen and dining room under the tables and chairs So much easier than a regular upright vacuum Gets in small places easily I really like getting this out instead of our up...
2015,It can be mounted on the wall This will be my plan once I find an ideal place I want it Its easy to place on the stand and charge it The attachments fit on the stand but I am left with no spot for...
2016,Battery life isnt great but it does have a backup battery so with both batteries I can get most of the house done But honestly I dont usually vacuum my whole house at once Ill do downstairs one ti...
2017,Upstairs we have carpet We also have carpeted stairs This is great on our stairs Makes it so easy to clean It does well on the carpet too Easy to get around the furniture and under the bed It fits...
2018,Overall this vacuum has been amazing I really enjoy getting it out and vacuuming So much easier than lugging the upright vacuum and plugging it in moving the cord everywhere and lugging it up and ...
2019,BEST YET This cordless vacuum makes vacuuming the stairs especially a breeze and do not have to worry about constantly replugging in Easy to assemble suction is good on this vacuum and it’s easy t...
2020,BEST VACUUM I have been using this vacuum for over a week now and I can honestly say I really love this vacuum I love that it comes with an extra battery The battery life seems pretty decent plus ...
2021,Works really well We got this a few weeks ago and have been very impressed so far The multiple attachements come in handy when working on different jobs Its also great to be able to use the vacuum...
2022,So convenient I love this vacuum Its very lightweight and easy to use It has a stand up base so we keep it in the corner Its extremely handy to have easy access to it because of all the dog hair w...
2023,Great vacuum This vacuum is so nice It has two great options for storage and is very convenient to use We have two dogs and it picks up hair great It lasts long enough to get all our spaces clean ...
2024,Amazing Vacuum This is the best vacuum Ive ever used I have purchased other high end vacuums in the past and the quality and strength of this product cant be compared The hand held option has powe...
2025,Awesome Our new favorite Makes vacuuming the stairs especially a breeze Easy to assemble charge lasts for a fairly long time enough to vacuum a 3000 sq ft home Comes with a spare battery too Must ...
2026,Love it I really love this vacuum I love that it comes with an extra battery The battery life seems pretty decent plus having the extra one makes it awesome I like that you have the option of turn...
2027,This light weight vacuum lets me share the chores This is a great little vacuum that is perfect for the house for every day use and smaller chores With no cords and being so light the younger kids...
2028,Suction is good on this vacuum and it’s easy to use and empty the contents
2029,One thing is that putting the stand together make sure you have the order correct before snapping the people in place because I don’t know how to separate them to add the attachment holder
2030,Another thing the instructions are a little light on what each attachment does but it can be figured out
2031,Lightweight Vacuum that gets the job done This vacuum is well worth the investment Unlike the regular vacuum it isn’t clunky or difficult to maneuver It didn’t hurt my wrists arms or back when use...
2032,Powerful I have a wood floor with a few area rugs This powerful cordless vacuum does the trick It has attachments for both bare floors and carpets Its adaptable from a hand held to full length wit...
2033,Game changer This LG vacuum is the perfect addition to any home Its cordless versatility makes housekeeping more manageable and a little more fun at the same time The days of fighting with the cor...
2034,My favorite vacuum Im so happy with the convenience and suction of this vacuum I honestly never thought I would like a cordless vacuum and assumed it wouldnt pick up like a corded vacuum Wow I was...
2035,Most amazing vacuum ever The LG Cord Zero stick vacuum is my new favorite household item When you open the box its initially a little overwhelming as there seems to be alot of pieces I promise it ...
2036,Great vacuum This is an awesome cordless vacuum Its easy to use and transport throughout the house without dealing with any cords It doesnt hold a ton of debris which is unfortunate since we have ...
2037,AMAZING This is such a lightweight and powerful machine I love that it has such a small footprint when charging Its not loud and it easier to maneuver I keep it on normal mode because it looses po...
2038,Great Vacuum This is an awesome vacuum I initially had concerns with the suction  cleaning ability of this vacuum but I was pleasantly surprised that my worry was in vein The power of the suction ...
2039,This thing SUCKS This thing sucks in a good way It even has a turbo boost setting when you need it to suck even more The extra battery attachments and stand are very nice to have and Ive not had a...
2040,I love vacuuming now I have never liked vacuuming because I have always lived in a two story space and hate having to find a space for a chord and move the chord between rooms when I am vacuuming ...
2041,It sucks but in the best way possible This is a seriously amazing vacuum I was skeptical at first because its so small I figured there was no way it could have a motor strong enough to be effectiv...
2042,It also comes with just a ton of attachments and options I never had a vacuum that let me decide how much sucking force it would use And because its so light with all those attachment options we w...
2043,Best cordless vacuum I have ever owned A vacuum first and foremost needs to have power to pick up dirt and this one definitely does Being cordless it is very convenient to move around the house wi...
2044,Amazing clean I love this vacuum It is lightweight and easy to handle yet so powerful Its compact which makes it easy to do the stairs and its extension allows me to get the ceiling and tops of wi...
2045,Love Absolutely love this vacume Does and awesome job on my hardwood floors and also on my carpeting The color is really great and fun The vacume is also not overly loud which is nice Just another...
2046,Handy sweeper This little sweeper is handy for small clean ups on carpet smooth floors and furniture Its light weight and comes with two batteries The cordless feature is nice Its a bit short to b...
2047,Nice features works well very quiet This LG works very well and is extremely quiet for a vacuum I like the fact that you can dial in your power needs with a touch a button but I will say it will g...
2048,Love the versatility This is one of the best additions to my home appliance collection The versatility and mobility allow me to clean places my Dyson won’t reach The multiple attachments provide s...
2049,Amazing I have always complained about fighting with a cord while sweeping This is just what I was waiting for for years Its light weight and recharges on a stand or you can wall mount it COmes wi...
2050,LIGHT AND EASY TO USE I LOVE MY LG STICK VACUUM IT IS LIGHT AND EASY TO USE I LIKE THE CHARGING STAND THAT CAME WITH IT IT HOLDS THE EXTRA BATTERY PLUS THE ACTUAL VACUUM CANISTER WITH THE BATTERY ...
2051,LOVE this vacuum but needs a few tweaks First of all I am super impressed with this vacuum and its cleaning ability I currently also own an Oreck Halo that I use or used to several times a week Il...
2052,Pros  \n  Doesnt seem like it has a lot of power but it does
2053,Super quiet
2054,Sleek
2055,Slim
2056,Lightweight
2057,Washable filters
2058,Easy to attach and detach accessories
2059,Vacuums better than my Oreck Halo I emptied so many canisters from the LG of what the Oreck didnt pick up I was amazed
2060,The hard floor and carpets feel cleaner
2061,The pet attachment is amazing and gets hair off of furniture more than our separate pet handheld vacuum
2062,Cons  \n  Very small canister I have to empty this after each room or sometimes twice per room
2063,Emptying the canister is awkward The opening of the canister should be on the other side towards the back of the unit for easier dumping If an accessory wand or anything is attached it makes the...
2064,The finger rest in the handle hurts and is unnecessary
2065,Sometimes its difficult to completely empty the canister when stuff is stuck up towards the top of the filters I have to use something usually to dig it out
2066,My Floors Have Never Looked Better Vacuuming was one of those undesirable chores that my family argued over constantly until we were introduced to the LG CordZero stick vacuum This vacuum is insan...
2067,amazing vacuum this vacuum is amazing i have had a Dyson also so able to compare against competitive brand
2068,pros  stand that does not require mounting to the wall lightweight multiple attachments so good for upholstery cars blinds ceiling corners etc onoff button Dyson has a touch release multiple speed...
2069,this vacuum works just like a heavy vacuum its lightweight portability makes it easy to do multiple floors quickly The canister is easy to empty  despite it being easy i tend to clean out in the g...
2070,this vacuum will easily replace all other machines you use as it is easy to use as a handheld for smaller areas car and larger areas carpetsstairs no need to have both
2071,Excellent suction and longevity This vacuum is great It is lightweight and easy to lift and maneuver around on stairs It has an extension that is great to get ceilings and tops of windows and behi...
2072,Love it It is the best vacuum I have ever had It is so light weight and very easy to change from hardwood or tile to carpet It has great suction and is so portable that it is very easy to store I ...
2073,SUPERB VACUUM This LG Cord Zero vacuum is the truth I love using it every day sometimes three times a day lu t really brings power in a small and lightweight packages and it never disappoints Im a...
2074,awesome I have absolutely nothing bad to say It is a great cordless vacuum Over the years weve had 4 cordless vacuums 1 was cheap garbage 1 was just terrible 1 was a dyson and it was ok but this o...
2075,Best vacuum ever This vacuum is amazing Not only does it work well on carpet but it also does great on hardwood floors It’s so much easier than sweeping and the Kompressor helps to compress the di...
2076,Cord zero review We bought our Cord Zero and very shortly after we got it it malfunctioned We sent it for repair it came back and a very short time later the same malfunction happened again it is ...
2077,LG Cordless Vacuum So far it has been excellent
2078,Lightweight picks up well and the trash reservoir is easy to clean
2079,Sucks pretty hard Its been great for cleaning and the added accessories are fantastic The stand is also surprisingly solid
2080,Customer service at LG is a disaster Customer service at LG is a disaster
2081,Good Good at vacuuming dust and other stuff and very easy to use
2082,LOVE IT  I bought this cordless vacuum a couple of months ago I love how its always charged and ready to go Now I cant live without it From carpet to floors it does an excellent job of cleaning be...
2083,Amazing vacuum My wife and I started using this product a month ago it’s being incredible it cleans deep is easy to use and the turbo mode really helps with the difficult spots
2084,Great lightweight vacuum for all needs When we got this vacuum we were concerned that something so small could perform for all our needs After using it for a while we fell in love with it We can p...
2085,Best invention ever My best friend and I started a cleaning business 6 months ago After much research we decided on the LG aka “Lola”haha Lola has been worth every penny we spent We will highly re...
2086,PRODUCT NUMBERA925KSM Its a good vacuum Overall very easy to use and very compatible I am glad to have that 10 years of motor warranty which makes me feel safe to buy this product at this cost Tho...
2087,Improvementsits been only few weeks that I have used but i guess the suction power can be improved Also the extension it comes with is for all floors which has rotating brush I would suggest to ei...
2088,Lastly its about the unique features of kompressor technology which is very good One improvement that can be made is the bin is detachable so that it becomes even easy to dump the trash But this i...
2089,Love this vacuum We bought this vacuum a few weeks ago and absolutely love it It works well on multiple surfaces which is PERFECT
2090,Extremely easy to use I bought this vac recently and have only used it a few times But it is exceptionally easy and convenient to use The weight and adjustable height are perfect as is the maneuve...
2091,very worthy I bought this a month ago and have used 4 times So far no concerns and all seem to be excellent The weight is also lighter than I thought
2092,I didnt think I needed a cordless vacuum but this I didnt think I needed a cordless vacuum but this one is great It came with an extra battery and both charge at the same time I really like that i...
2093,It’s a good vacuum not sure what I expected but It’s a good vacuum not sure what I expected but it does a decent job The charging station is fairly big but I realize that it really can’t be any sm...
2094,Very satisfied I have always been skeptical about purchasing a battery powered stick vacuum I should of purchased one earlier The ease of just grabbing it and vacuuming without any cords in the wa...
2095,What an amazing vacuum This is the best vacuum that I have ever owned So easy to use Great sucking power Easy to empty Great battery life Can’t be happier
2096,Love the freedom I have used it for about a month and I love the features and double battery I have a small retirement home and I haven’t gotten through one battery yet
2097,Convenient mobile Better then sliced bread  No dragging out an aircraft carrier vacuum Two batteries always ready to go
2098,GREAT Vaccum I bought this to replace another stick vacuum and Im so glad I did The vacuum is very powerful and with the extra battery doing the entire house is absolutely no problem
2099,Makes vacuuming a breeze I have never liked vacuuming but this LG Cordless Vacuum has changed my outlook on cleaning It is light quiet and easy to use I cant believe I am saying this but a pleasur...
2100,Light weight and powerful I have had my LG CordZero for a couple of months I use it ever morning to vacuum my wood floors and my kitchen tiles It does a fantastic job It is so light weight which i...
2101,Love this vacuum Did the bundle with the laundry unit and am so glad I did This is a great vacuum I have a heavy shedding dog and this vacuum keeps up The compacting unit is such an awesome featur...
2102,Loving my new vacuum but will it last So far so good with my new LG Stick vacuum I bought this vacuum about three weeks ago Im amazed at the amount of dog hair the vacuum gets off my hardwood floo...
2103,Nice sweeperBUT I like the battery life It needs a light and the hard floor nozzle is loud and it sounds like it is hard on my floors Ive noticed scuffing where I have swept cat litter Mine also h...
2104,First cordless vacuum cleaner So far it has worked well I like not having to manage the cord while cleaning and it definitely speeds up the process The only weakness in the machine that Ive seen s...
2105,I really like the charging stand It is set up in the laundry room and takes up minimal space
2106,Easy Cleaning I bought this vacuum weeks ago and so far it does its job in no time No more hassle with cords or being heavy to move around All around easy clean up with emptying debris and cleanin...
2107,Just love it feels Just right Since I got this product I have a cleaner Homeand jus love it
2108,Great features Bought a few weeks ago love it would purchase again
2109,Doesnt live up to expectations This model only works well for light everyday vacuuming I purchased it expecting it to be effective on pet hair If there is any accumulation of pet hair more than li...
2110,Excellent Bought this about six weeks ago and it was the best purchase done
2111,Lightweight and easy to use I love love love this LG Cord Zero Kompressor vacuum I told my hubby I hated our old vacuum cleaner because it was too heavy  despite being advertised as lightweight  a...
2112,It is good for a small vacuum but I would It is good for a small vacuum but I would not be happy with this as my only vacuum I ordered it because there was a full rebate with my washer and dryer I...
2113,Lightweight and powerful for a cordless vacuum has multiple heads Lightweight and powerful for a cordless vacuum has multiple heads and a lot of functions Works well on hardwood carpets and uphols...
2114,Gets a B I have owned this for several months I have owned many cordless vacs prior This one is nothing special It works and kudos it comes with 2 batteries Now for some reason my batteries both d...
2115,I love how easy it is to grab and vacumn I love how easy it is to grab and vacumn up all the mud ad dig hair
2116,I love this vacuum Easy to use Dont have to pull out my heavy vacuum Works well on my carpet and tile floor The attachments are easy to use Battery lasts long enough to clean my whole
2117,house
2118,So easy and light Have used several times now So much easier than my heavy upright It is light and the stairs are a breeze and dont kill my back The receptacle for waste is a bit small but other t...
2119,Sweet machine Easy to use and quiet Sweet machine Easy to use and quiet
2120,Great features So very happy I decided to get this vacuum Lightweight powerful easy to use
2121,Great vac for quick cleanups I have this unit sitting behind a chair in my living room for quick cleanups Helps touch up the carpet when the cat rolls around and leaves fur everywhere I love that ...
2122,Almost forgot love how easy it is to clean Easy to take the dust out of the cup easy to replace the filter and easy to clean out stuck fur thanks to a push down lever that helps clear out the dust...
2123,Pros… love that this is cordless
2124,Cons… This vacuum does Pros… love that this is cordless
2125,Cons… This vacuum does NOT work well with dog hair or kids Gets clogged like every time I vacuum I would expect a little more with the price point on this
2126,Awesome Little Machine I am so happy that I bought this vacuum It has made cleaning around the house so convenient The Kompressor works great for my multipet household The batteries last a long ti...
2127,Super Vac Weve had this for about a month now and it performs very nice Small but mighty great buy and I would tell friends to go and get one for themselves
2128,So easy to use and lightweight too This vacuum was a bonus with the washerdryer we bought at the same time and I thought Id give it a try as we had it I love it I love having no cord to plugunplug...
2129,Best vacuum Ive had Super light so Im not pulling our old heavy canister vacuum around Cordless so Im not getting tangled up or constantly having to find a new plugin when I do my weekly vacuuming
2130,Very powerfulwhen I first got it I used it immediately after vacuuming with my old model I filled the canister TWICE with dirt that the old one missed
2131,Our old one was a top of the line floor model expensive but very reliable and we thought doing a really good job
2132,This new LG is handsdown far easier to use especially under our king bed and does a much better job
2133,This is a really good vacuum Battery is long enough This is a really good vacuum Battery is long enough to go around the house multiple times The suction power is better than other vacuums
2134,much better than the older Dyson it replaces Love how much better than the older Dyson it replaces Love how it has an on off button for vaccuum instead of a trigger
2135,Love this sweeper It picks up stuff the dyson and Love this sweeper It picks up stuff the dyson and shark cordless leave behind and the battery life is too notch
2136,Not good at all at least for homes with pets Not good at all at least for homes with pets Continually clogs as hair gets trapped above the “kompressor” plungergasket I also have a Dyson stick vacu...
2137,Decent but not worth 800 bucks if you dont get Decent but not worth 800 bucks if you dont get it on a significant sale Wouldnt pay more than 300
2138,I honestly dont know why this vacuum is so expensive I honestly dont know why this vacuum is so expensive The suction isnt even as close as the Dyson we had before 100 vacuum being sold for 700 Do...
2139,Eh Im not very impressed I bought this vacuum because I liked the idea of being able to just hit the button instead of having to hold down the trigger
2140,Proshit the button and vacuum
2141,ConsEvery time you put this on the charger you have to lower the wand
2142,The horrible head It wont even pick up a Cheerio
2143,No light
2144,You have to buy the accessories separate Really
2145,On wood floors you have to go over the same area at least twice And you still leave behind dirt
2146,Just go with the Dyson and hold the trigger
2147,Awesome lightweight machine  Compared to the other brand I had this is unbelievable
2148,Absolutely Love it I was not really looking for a vacuum when I saw a deal from LG on purchasing this cordless vacuum I couldnt resist  cordless turbo power bagless did I mention turbo As well as ...
2149,Easy to vacuum your entire house at a fraction of Easy to vacuum your entire house at a fraction of time with a corded vacuum Really gets up the dirt
2150,So light and easy to use even my 10 year So light and easy to use even my 10 year old is willing to vacuum with this
2151,Suction is great but not super super strong Battery lasts long enough
2152,SUCTION IS POOR I JUST BOUGHT THIS LESS THAN 3 MONTHS AGO AND IT IS NOT WORKING IT BEEPS TO ALERT YOU TO A CLOG BUT YOU CANT UNCLOG IT AS THE CLOG IS ABOVE A BROKEN SEAL
2153,Quality Quality Quality Ive been a Dyson owner for several years but LG took me away from all that This machine outperforms the Dyson in every way I especially like the onoff switch rather than ha...
2154,no batteries dont last I had this sweeper for about a week and both batteries stopped holding a charge
2155,Light and powerful Ive had my LG vacuum for about 2 months now and am really loving it I have two ragdoll cats so I use my vac multiple times a day I love the power button the compressor and most ...
2156,Light  PowerfulMakes Vacuuming a Breeze I was initially impressed by the light weight and maneuverability and that thought it would be perfect for stairs and tight places
2157,What I discovered was that it is as powerful as my heavy ‘animal’ vacuum so it is great for everything Because it is cordless it is easy to get to places that I wouldn’t often clean and I can easi...
2158,Powerful and quiet This is a very good and efficient vacuum We have 3 pets and it picks up their hair well I also like the fact that its cordless and stores easily in the corner or the room
2159,Excellent stic vacuum This vacuum saves quite a bit of time that used to be wasted using a lobby broom and dustpan set It makes short work of picking up kitty litter dust bunnies and other things ...
2160,Leading Choice Been through a host of stick vacs over years my LG is best so far
2161,Great vac Absolutely love this vacuum It is so light and easy to use Works great on dog hair The only negative thing I can say is the battery runs out quicker than I need it to…I have a huge area ...
2162,Great Vacuum I bought this few weeks ago It was easy to assemble and use Great performance
2163,Overall good I bought it less than a month ago and the string at bottom by rollers came off and got stuck in rollers stopping the suctionOther than that disappointment the suction is powerful Just...
2164,Charging issue My unit does not always keep its charge but its keep in its charging station always when not in use The charging lights in my manual say that they stay on after its fully charged bu...
2165,Love the 2 batteries We have had 3 Dyson vacuums over the years and they have all been great Decided to try the LG as we have several LG appliances and have always been happy with them I love the ...
2166,Amazing cordless vacuum I couldnt be happier with my purchase of this LG Cordless Vacuum With all its innovative features power and performance I feel I have made the best decision in chosing an L...
2167,Great and compact This is a great product has made life just that much easier grab it and go Very versatile and better suction than I expected from a cordless
2168,Quiet but powerful I always Dysons products but I tried to use LG this time and my Im loving this vacuum
2169,It is very quiet but powerful suction especially came with 2 batteries so I can clean the whole house My wife also loves this product because she doesnt have to hold the some kind of trigger while...
2170,Saves me so much time This vacuum has saved me so much time
2171,I use it to do my commercial office cleaning No more running around looking for plugs and using extension cords that get caught under everything It has a very long run time I’ve cleaned 3000 sq ft...
2172,Cordless Bliss I live with Mr Gadget a husband who loves all things electronic Therefore finding an empty outlet to plug into is like finding your cat when its time to go to the vet When I do find...
2173,Great Features Ive owned the A9 Compressor about 2 moths and am very satisfied with the product I spent over a month looking at different brands of cordless stick vacs and decided on the LG A9 bec...
2174,Overall it seems to do a gret job cleaning and I would highly recommend it to anyone looking for a quality cordless stick vacuum
2175,Horrible for pet hair I was torn between this and the dysonI should have gone with the dyson The design for picking up pet hair is horrible It gets clogged every two minutes because of the cleanin...
2176,Easy to use I examined several brands of stick vacuums and chose the LG model A927KVMS for its ease to use  performance specifications It has turned out to be an excellent choice Size weight and b...
2177,Love it Im happy with this purchase I have carpet and it picks up dirt dust that my previous vacuum didnt I love the kompressor feature and all the additional attachments
2178,Very convenient Have had this great vacuum for a month now and the convenience of it has made vacuuming much less of a chore No more dealing with a cord and having to plug in at different outlets ...
2179,Such a good vacuum I definitely recommend this vacuum It’s lightweight and the cleaning is easy I was able to remove the tank and battery pack instantly
2180,What a Game Changer I bought this vacuum because I have a dog now and she sheds like crazy I can vacuum my entire house on one battery 1200 sg ft I use the Normal mode on the bare floors and my ar...
2181,Best Vacuum EVER This vacuum is amazing easy to put together Picks up so much dust and dirt I love that there is no cord and it can go anywhere
2182,Easy to handle I am no longer strong enough to handle the hose on my whole house vacuum so I searched for a light weight stick vacuum  after much research I chose the LG Despite weak hands  poor b...
2183,No more lugging a heavy hose and canister I bought this stick vacuum because I was afraid that I might trip and fall dragging a hose and canister vacuum around I had tried an upright but felt it d...
2184,I Love it I love it soooo much so easy to carry and convenient
2185,Works as promised We have cats and mostly hardwood This vacuum does well handling both Its pretty good on rugs as well though it needs to be on the highest setting to work best on rugs Emptying is...
2186,Happy with this overall I have been using this for a month now I am happy with this vacuum overall I have dysonscanister also and am using both of them I feel like LG one does better job I am pret...
2187,Wish we had upgraded sooner Great vacuum After one month of use this stick vacuum has completely replaced both our old upright and old handheld units About two thirds of a battery is easily enough...
2188,Tipthe kompressor lever is also useful for emptying the vacuum
2189,Great power Use at my skin studio works great to remove debris from clients walking in from parking lot Love the size and 2 batteries
2190,Ease of use It’s been a very pleasant surprise of how much we’ve enjoyed this product
2191,I love the vacuum but my charging station I love the Kompressor part and the suction is so much better than the dyson I have I love how you don’t have to hold down a trigger and the batteries last...
2192,No suction Doesn’t even work that well on bare floors worse on fabrics What a joke for how much it costs
2193,Easy to Use This is the best all around vacuum I have ever purchased I can clean my entire house better than I could before in half the time Lightweight and easy to use it has made me want to clea...
2194,Great upgrade with Kompressor One of the great features of this product is Kompressor I did a lot of research on LG and other vacuum cleaners and I believe this product can be the best cleaner in ...
2195,when its works its work good the unit works well when its works my did not last 2 months before it broke
2196,Less than stellar perfomance Overpriced for the performance Very disappointed with purchase Without turbo mode this wireless vacuum would be useless
2197,Great Mchine I love this vac Very convenient sense its cordless and has 2 batteries The only drar back is that sometimes thick rugs are a little difficult You have to lift up the machine so that o...
2198,Great for quick run thru the house but use Turbo Great for quick jobs Must use Turbo or Turbo mode Very quiet Soooo Easy
2199,Love it Bought this last month and love it All my appliances are LG I think their the best
2200,eh wish I had more choices before i bought this one but wanted stick
2201,Great features and battery life I bought this vacuum about a month ago and I’m in love The turbo suction is amazing and just the battery life alone for be is a huge plus I had a Dyson before and i...
2202,Great features Never thought we would enjoy a cordless vac as much as this one
2203,Easy whole floor cleaning My LG stick vacuum has made it so much easier to clean the whole floor I am now vacuuming every other day because it goes so quickly I have three cats and two dogs and th...
2204,Easy to use This vacuum is so easy to use and maneuver So much more than other products I have used And the batteries last forever
2205,Light So happy with this It is so light and easy to use Easy to clean
2206,I felt like I finally had real vacuum The first time I used my LG portable vacuum I realized how ineffective the corded electric vacuum I had been using was I live on the beach and sand always man...
2207,Mighty  Light We purchased this cordless stick vac because it has a hepa filter system intending to use it for light duty maintenance as an alternative to our obstreperous Miele canister Surprise ...
2208,My only caution is that it does take a little effort to clean the filter system since it is bagless but it is mostly washable  even the hepa  and well designed
2209,One more plus  it is incredibly quiet and can barely be heard across the house when running The 2 batteries on our model that may be simultaneously charged make this cordless a winner for me
2210,This vacuum has made my life so much easier As a retired senior citizen I am always looking for ways to simplify my life This vacuum is so easy to use With the wide variety of accessories it makes...
2211,Very handy This cordless vacuum is great and very handy just grab and go without the hassle of getting out the large corded vacuum Much easier cleaning the stairs with the cordless and for cleanin...
2212,Great vacuum This vacuum is easy to use and has great battery life It has good vacuum and the emptying of the waste bin is a breeze It is the best stick vacuum we have ever used
2213,Fast and Furious Very agile with great suction Maneuvers anywhere and holds a charge throughout the entire house
2214,Excellant product Very happy with this vacuum Does a great job and is easy to use and put away A little more expensive than some others but well worth it to me
2215,very happy with it lightweight and easy to use like longer use battery
2216,Best investment We have been using this for 4 months now and absolutely satisfied with the performance of the machine We have two pets and lots of fur to clean up This does an excellent job of rem...
2217,the fur in the deep clean mode from both carpet and hardwood floor Excellent battery life with two both batteries combine and can easily get through the house in one charge Some of the improvement...
2218,Exceeded expectations I received this as an early Christmas gift I’ve never owned a stick vacuum before and was hoping I wouldn’t be disappointed This vacuum has great suction is easy to maneuver ...
2219,Better than Dyson My girlfriend and I got this in October before we moved into our new apartment and my goodness The fact that my hand doesnt cramp from holding a trigger to keep it going is one o...
2220,Extremely Disappointed I have been been a huge fan of LG however for the price of the product I feel LG has cheated me To begin with for the price this product does not come with a soft roll brush...
2221,Great Features We purchased this LG Cord Zero Ultimate Kompressor Stick Vacuum and absolutely Love it We have a central vac but tripping on the hose and changing locations where we have to install...
2222,We have this Vintage Wine version with the Kompressor in our office and it looks very nice The Quality is very good and easy to put together
2223,Lightweight I recently got this vacuum and I really like it Its lightweight and has good suction it works well on my tiled floor and carpet I also like the kompressor it makes it easier for me to ...
2224,As with most of LGs products I am impressed The CordZero A9 vacuum came in a well laid out box with thorough easy to understand instructions All the components are individually secure easy to unpa...
2225,This vacuum has noticeably more suction power than my leading brand stick vacuum while somehow also being much quieter Upon initial use I noticed the A9 picked up so much more dirt to a floor that...
2226,The telescoping wand is a nice feature to be able to adjust to different heights This makes it more comfortable for me to vacuum stairs where I need a shorter wand as well as varying heights when ...
2227,The LG A9 is only a couple ounces heavier than my previous stick vacuum but it feels so much better in my hand Overall the vacuum feels more balanced because of the well distributed weight I find ...
2228,I love that this comes with two batteries for continuous cleaning One battery lasts a long time already nearly 40 min each but its reassuring knowing Im not restricted and can keep cleaning Its th...
2229,While the dirt bin isnt as big as some competitors the Kompressor feature comes in handy to maximizing the capacity while keeping the vacuum lite weight and size relatively compact The Kompressor ...
